orden,division,grupo,clase,subclase,producto,descripcion,ponderacion,etiqueta,nivel
416,7,071,0712,,,Motocicletas,0.002177,Motocicletas,clase
417,7,071,0712,07120,,Motocicletas,0.002177,Motocicletas,subclase
418,7,071,0712,07120,07120001,Motos,0.002177,Motos,producto
419,7,071,0713,,,Bicicletas,0.000987,Bicicletas,clase
420,7,071,0713,07130,,Bicicletas,0.000987,Bicicletas,subclase
421,7,071,0713,07130,07130001,Bicicletas,0.000987,Bicicletas,producto
422,7,072,,,,Operación de equipo de transporte personal,0.062678,Operación de equipo de transporte personal,grupo
423,7,072,0721,,,Repuestos y accesorios para equipo de transporte personal,0.00235,Repu. y acces. para equipo de trans. pers.,clase
424,7,072,0721,07211,,Neumáticos,0.001228,Neumáticos,subclase
425,7,072,0721,07211,07211001,"Neumáticos, cámaras, cubiertas",0.001228,"Neumáticos, cámaras, cubiertas",producto
426,7,072,0721,07212,,"Piezas, repuestos para equipo de transporte personal",0.001122,"Piezas, repu. para equipo d…",subclase
427,7,072,0721,07212,07212001,Accesorios y repuestos de autos,0.001122,Accesorios y repuestos de autos,producto
428,7,072,0722,,,Combustibles y lubricantes para equipo de transporte personal,0.043376,Combu. y lubri. para equipo de trans. per…,clase
429,7,072,0722,07221,,Diesel,0.00542,Diesel,subclase
430,7,072,0722,07221,07221001,"Gas Oil, para transporte personal",0.00542,"Gas Oil, para transporte personal",producto
431,7,072,0722,07222,,Gasolina,0.035392,Gasolina,subclase
432,7,072,0722,07222,07222001,"Nafta, para transporte personal",0.035392,"Nafta, para transporte personal",producto
433,7,072,0722,07224,,Lubricantes,0.002564,Lubricantes,subclase
434,7,072,0722,07224,07224001,"Lubricantes, aceite y cambio de aceite",0.002564,"Lubricantes, aceite y cambio de aceite",producto
435,7,072,0723,,,Mantenimiento y reparación de equipo de transporte personal,0.007326,Mante. y repar. de equipo de trans. pers.,clase
436,7,072,0723,07230,,Mantenimiento y reparación de equipo de transporte personal,0.007326,Mante. y repar. de equipo de trans. pers.,subclase
437,7,072,0723,07230,07230001,Chapa y pintura,0.001168,Chapa y pintura,producto
438,7,072,0723,07230,07230002,Servicio de auxilio de automotor,0.000555,Servicio de auxilio de automotor,producto
439,7,072,0723,07230,07230003,Reparaciones mecánicas de vehículos,0.004946,Reparaciones mecánicas de vehículos,producto
440,7,072,0723,07230,07230004,"Servicio de gomería, lavado y engrase",0.000657,"Servicio de gomería, lavado y engrase",producto
441,7,072,0724,,,Otros servicios relacionados con el equipo de transporte personal,0.009626,Otros serv. relac. con el equipo de trans…,clase
442,7,072,0724,07241,,Servicios para estacionamiento,0.001099,Servicios para estacionamiento,subclase
443,7,072,0724,07241,07241001,"Estacionamiento, alquiler de cochera y garaje",0.001099,"Estac., alqu. de cochera y …",producto
444,7,072,0724,07242,,Instalaciones de peaje,0.000412,Instalaciones de peaje,subclase
445,7,072,0724,07242,07242000,Peajes,0.000412,Peajes,producto
446,7,072,0724,07243,,"Clases de manejo, exámenes, licencias y pruebas de idoneidad vial",0.008115,"Clases de manejo, exám., lice. y pruebas …",subclase
447,7,072,0724,07243,07243000,Patente de rodado,0.007988,Patente de rodado,producto
448,7,072,0724,07243,07243001,Licencia de conducir,0.000127,Licencia de conducir,producto
449,7,073,,,,Servicios de transporte de pasajeros,0.025475,Servicios de transporte de pasajeros,grupo
450,7,073,0732,,,Transporte de pasajeros por carretera,0.018643,Transporte de pasajeros por carretera,clase
451,7,073,0732,07321,,Transporte de pasajeros en ómnibus,0.015188,Transporte de pasajeros en ómnibus,subclase
452,7,073,0732,07321,07321010,Boleto de ómnibus local,0.012696,Boleto de ómnibus local,producto
453,7,073,0732,07321,07321020,Transporte interdepartamental y suburbano,0.002492,Transporte interdepartamental y suburbano,producto
454,7,073,0732,07322,,Transporte de pasajeros en taxi y coche de alquiler con conductor.,0.003455,Trans. de pasa. en taxi y coche de alqu. …,subclase
455,7,073,0732,07322,07322000,Transporte de pasajeros con chofer,0.003455,Transporte de pasajeros con chofer,producto
456,7,073,0733,,,Transporte de pasajeros por aire,0.006832,Transporte de pasajeros por aire,clase
457,7,073,0733,07332,,"Transporte de pasajeros por aire, internacional",0.006832,"Trans. de pasa. por…, inter.",subclase
458,7,073,0733,07332,07332001,Pasaje de avión,0.006832,Pasaje de avión,producto
459,8,,,,,INFORMACIÓN Y COMUNICACIÓN,0.061832,Inform. y comunic.,division
460,8,081,,,,Equipo de información y comunicación,0.007402,Inform. y comunic.,grupo
461,8,081,0812,,,Equipo de telefonía móvil,0.002854,Equipo de telefonía móvil,clase
462,8,081,0812,08120,,Equipo de telefonía móvil,0.002854,Equipo de telefonía móvil,subclase
463,8,081,0812,08120,08120001,Teléfonos celulares: aparato,0.002854,Teléfonos celulares: aparato,producto
464,8,081,0813,,,Equipo de procesamiento de información,0.002028,Equipo de procesamiento de información,clase
465,8,081,0813,08131,,"Ordenadores, portátiles y tabletas",0.001182,"Ordenadores, portátiles y tabletas",subclase
466,8,081,0813,08131,08131001,"Computadora, Laptop",0.001015,"Computadora, Laptop",producto
467,8,081,0813,08131,08131002,Tablet,0.000167,Tablet,producto
468,8,081,0813,08132,,Equipos periféricos y sus componentes consumibles,0.000846,Equipos perif. y sus compo. consu.,subclase
469,8,081,0813,08132,08132001,Cartuchos para impresora,0.000846,Cartuchos para impresora,producto
470,8,081,0814,,,"Equipos para la recepción, grabación y reproducción de sonido y visión",0.00252,"Equipos para la rec…, grab. y repro. de s…",clase
471,8,081,0814,08140,,"Equipos para la recepción, grabación y reproducción de sonido y visión",0.00252,"Equipos para la rec…, grab. y repro. de s…",subclase
472,8,081,0814,08140,08140001,Televisor,0.00252,Televisor,producto
473,8,083,,,,Servicios de información y comunicación,0.05443,Inform. y comunic.,grupo
474,8,083,0831,,,Servicios de comunicaciones fijas,0.008682,Servicios de comunicaciones fijas,clase
475,8,083,0831,08310,,Servicios de comunicaciones fijas,0.008682,Servicios de comunicaciones fijas,subclase
476,8,083,0831,08310,08310000,Servicio de telefonía fija,0.008682,Servicio de telefonía fija,producto
477,8,083,0832,,,Servicios de comunicaciones móviles,0.018309,Servicios de comunicaciones móviles,clase
478,8,083,0832,08320,,Servicios de comunicaciones móviles,0.018309,Servicios de comunicaciones móviles,subclase
479,8,083,0832,08320,08320000,Servicio de telefonía móvil,0.018309,Servicio de telefonía móvil,producto
480,8,083,0833,,,Servicios de provisión de acceso a Internet y servicios de almacenamiento en red,0.007555,Serv. de prov. de acceso a Inte. y serv. …,clase
481,8,083,0833,08330,,Servicios de provisión de acceso a Internet y servicios de almacenamiento en red,0.007555,Serv. de prov. de acceso a Inte. y serv. …,subclase
482,8,083,0833,08330,08330000,Servicio de conexión a Internet por contrato,0.007555,Serv. de cone. a Inte. por cont.,producto
483,8,083,0839,,,Otros servicios de información y comunicación,0.019884,Inform. y comunic.,clase
484,8,083,0839,08391,,Licencias y tarifas de televisión y radio,0.019241,Licencias y tarifas de televisión y radio,subclase
485,8,083,0839,08391,08391001,Servicio de TV cable,0.019241,Servicio de TV cable,producto
486,8,083,0839,08392,,"Suscripción a contenidos audiovisuales, servicios de streaming y alquiler de contenidos audiovisuales",0.000643,"Suscr. a conte. aud…, serv. de stre. y al…",subclase
487,8,083,0839,08392,08392001,Suscripciones por internet,0.000643,Suscripciones por internet,producto
488,9,,,,,"RECREACIÓN, DEPORTE Y CULTURA",0.056618,"Recreac., dep. y cult.",division
489,9,092,,,,Otros bienes recreativos,0.006869,Otros bienes recreativos,grupo
490,9,092,0921,,,"Juegos, juguetes y pasatiempos",0.005468,"Juegos, juguetes y pasatiempos",clase
491,9,092,0921,09211,,"Computadoras de videojuegos, consolas de juegos, aplicaciones y software de juegos",0.000985,"Compu. de video., cons. de juegos, aplic.…",subclase
492,9,092,0921,09211,09211001,Consola y video juegos,0.000985,Consola y video juegos,producto
493,9,092,0921,09212,,"Otros juegos, juguetes y pasatiempos",0.004483,"Otros juegos, juguetes y pasatiempos",subclase
494,9,092,0921,09212,09212001,Juguetes y juegos,0.002974,Juguetes y juegos,producto
495,9,092,0921,09212,09212002,Bicicleta infantil,0.001509,Bicicleta infantil,producto
496,9,092,0922,,,"Equipo para deporte, camping y recreación al aire libre",0.001401,"Equipo para deporte, camping y recre. al…",clase
497,9,092,0922,09221,,Equipo para deporte,0.001401,Equipo para deporte,subclase
498,9,092,0922,09221,09221001,Pelotas de deportes,0.001401,Pelotas de deportes,producto
499,9,093,,,,Jardines y mascotas,0.010795,Jardines y mascotas,grupo
500,9,093,0931,,,"Jardines, plantas y flores",0.001155,"Jardines, plantas y flores",clase
501,9,093,0931,09312,,"Plantas, semillas y flores",0.001155,"Plantas, semillas y flores",subclase
502,9,093,0931,09312,09312001,"Plantas, flores",0.001155,"Plantas, flores",producto
503,9,093,0932,,,Mascotas y productos relacionados,0.00964,Mascotas y productos relacionados,clase
504,9,093,0932,09322,,Productos para mascotas y otros animales domésticos,0.00964,Prod. para masc. y otros anim. domés.,subclase
505,9,093,0932,09322,09322001,Alimentos para animales domésticos,0.008089,Alimentos para animales domésticos,producto
506,9,093,0932,09322,09322002,Productos veterinarios,0.001551,Productos veterinarios,producto
507,9,094,,,,Servicios recreativos,0.019974,Servicios recreativos,grupo
508,9,094,0945,,,Servicios veterinarios y otros para mascotas,0.001737,Serv. veter. y otros para masc.,clase
509,9,094,0945,09450,,Servicios veterinarios y otros para mascotas,0.001737,Serv. veter. y otros para masc.,subclase
510,9,094,0945,09450,09450001,Veterinario,0.001737,Veterinario,producto
511,9,094,0946,,,Servicios recreativos y deportivos,0.007224,Servicios recreativos y deportivos,clase
512,9,094,0946,09462,,Servicios deportivos - Práctica,0.007224,Servicios deportivos - Práctica,subclase
513,9,094,0946,09462,09462001,Club deportivo y gimnasio,0.007224,Club deportivo y gimnasio,producto
